Image name,Position Y,Position X,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Pixel value 1,Pixel value 2,Pixel value 3,Pixel value 4,Pixel value 5,Pixel value 6,Pixel value 7,Pixel value 8,Pixel value 9,Pixel value 10,Pixel value 11,Pixel value 12,Pixel value 13,Pixel value 14,Pixel value 15,Pixel value 16,Pixel value 17,Pixel value 18,Pixel value 19,Pixel value 20,Pixel value 21,Pixel value 22,Pixel value 23,Pixel value 24,Pixel value 25,Pixel value 26,Pixel value 27,Pixel value 28,Pixel value 29,Pixel value 30,Pixel value 31,Pixel value 32,Pixel value 33,Pixel value 34,Pixel value 35,Pixel value 36,Pixel value 37,Pixel value 38,Pixel value 39,Pixel value 40,Pixel value 41,Pixel value 42,Pixel value 43,Pixel value 44,Pixel value 45,Pixel value 46,Pixel value 47,Pixel value 48,Pixel value 49,Pixel value 50,Pixel value 51,Pixel value 52,Pixel value 53,Pixel value 54,Pixel value 55,Pixel value 56,Pixel value 57,Pixel value 58,Pixel value 59,Pixel value 60,Pixel value 61,Pixel value 62,Pixel value 63,Pixel value 64,Pixel value 65,Pixel value 66,Pixel value 67,Pixel value 68,Pixel value 69,Pixel value 70,Pixel value 71,Pixel value 72,Pixel value 73,Pixel value 74,Pixel value 75,Pixel value 76,Pixel value 77,Pixel value 78,Pixel value 79,Pixel value 80,Pixel value 81,Number of annotations,Percentage classified foreground,Class,User annotation details,
slow_20ms_15msexp0000.png,349,325,46499294.26,3.48,260463.87,0.34,0.00,7196,6168,9766,12593,13878,12336,11051,7710,6682,8738,4112,15677,5911,5397,8738,16191,10280,6425,4626,11051,10537,11308,19018,15420,7196,26471,3341,13364,4112,22102,8224,22873,11308,13621,11308,13364,10537,9252,22616,16191,17990,14649,4369,21331,13364,6168,8738,20560,15934,15420,7453,24929,17219,10280,15163,20303,7453,21845,15420,13364,15163,13878,19275,4369,6168,10280,16962,32125,13107,8481,12079,11308,6425,4112,8738,10280,15420,8738,7967,11308,20817,1,100.00,Foreground,write_str,
slow_20ms_15msexp0000.png,373,294,37761265.92,2.41,340608.34,0.26,0.00,9766,12593,6425,7710,35466,2570,4112,18761,7453,21331,11565,7967,16705,23387,9252,14392,14135,19275,8224,11308,8738,21588,10794,8481,12336,16962,15677,5397,18761,32125,20817,25186,16191,18247,8995,8224,10280,21331,25186,16448,19275,21845,23130,24415,13621,4112,8995,22102,19789,18504,52942,27499,19018,19532,3341,14135,15163,12336,15163,32639,21845,32382,17733,10280,3855,6425,10280,29041,14906,18504,13107,8224,2570,13107,10023,4883,4112,17476,3084,6682,6168,1,100.00,Foreground,write_str,
slow_20ms_15msexp0000.png,287,303,33932922.20,2.20,292756.23,0.21,0.00,4883,6168,8481,7710,5397,9766,6939,15934,2570,9509,6425,17476,5911,14392,15934,10280,10537,7196,9766,11308,9766,21074,26471,25957,13621,7453,7196,10280,8481,7196,31354,26728,23644,21331,13364,1028,8738,10280,28013,14135,39578,26728,21845,13364,4369,3855,3855,7710,17476,14906,15934,32125,21331,11308,9766,6939,10537,15163,24672,37522,16962,32382,6168,3855,3084,3598,14135,14906,20560,15420,19018,14135,8481,3341,6939,21074,18504,13107,20560,8995,11565,2,100.00,Foreground,write_str,
slow_20ms_15msexp0000.png,287,303,28315438.11,2.00,304734.04,0.22,0.00,4883,6168,8481,7710,5397,9766,6939,15934,2570,9509,6425,17476,5911,14392,15934,10280,10537,7196,9766,11308,9766,21074,26471,25957,13621,7453,7196,10280,8481,7196,31354,26728,23644,21331,13364,1028,8738,10280,28013,14135,39578,26728,21845,13364,4369,3855,3855,7710,17476,14906,15934,32125,21331,11308,9766,6939,10537,15163,24672,37522,16962,32382,6168,3855,3084,3598,14135,14906,20560,15420,19018,14135,8481,3341,6939,21074,18504,13107,20560,8995,11565,2,100.00,Foreground,write_str,
slow_20ms_15msexp0000.png,291,223,25147118.50,1.66,254133.89,0.14,0.00,3598,9509,2827,7967,6425,6168,6168,7967,8995,4369,3855,5654,13621,5140,8481,11822,3084,4112,2056,12336,16191,13878,12079,5911,10537,10023,6939,6425,4626,6425,9252,32125,15677,31611,5397,2827,5911,6682,21074,37779,25700,20817,25443,10537,13364,8995,1542,12593,25186,35209,41377,17476,7196,7196,5911,4112,8738,7967,24415,16962,29298,20303,10794,5397,14392,12336,13364,11565,14135,8481,11051,2570,4112,6168,3341,3855,9252,5911,5397,3341,1799,1,100.00,Foreground,write_str,
slow_20ms_15msexp0000.png,151,29,24653719.45,1.81,275881.68,0.18,0.00,2570,7453,16191,20560,9766,11565,5397,4626,6168,5397,10794,17733,15420,22873,20560,6682,11051,6682,11822,9766,17990,11565,13107,13364,20046,18504,14392,3084,13621,18247,29555,34181,14649,22616,27756,15420,10023,4112,15677,21588,39321,35723,38293,9766,18504,12336,13107,17219,24415,30069,29555,15934,22873,11565,9252,10537,18247,29298,19789,22873,14392,7967,4369,11822,10794,3341,11822,16962,20046,7710,21331,9252,4112,10280,16191,19018,7710,19789,6425,14906,18247,1,100.00,Foreground,write_str,
slow_20ms_15msexp0000.png,293,379,21001792.66,2.18,252858.07,0.29,0.00,8224,2827,10280,9766,20817,1799,5911,5654,13364,7196,2570,4626,14392,15934,6168,5911,9252,1542,8738,18761,7710,10794,6425,15934,12593,9509,2570,13107,4112,7967,14392,15163,23644,33924,7967,10537,5911,8224,10794,17990,22873,16191,14135,20046,14392,7710,10537,10794,15677,15934,6939,20046,8995,8224,10023,4883,10537,11308,12850,27756,13107,25700,7967,6425,7710,6425,12079,24415,10794,5397,10537,9509,3084,4883,17733,3855,7967,3341,13621,6682,5654,1,100.00,Foreground,write_str,
slow_20ms_15msexp0000.png,421,216,20488053.93,2.18,242544.82,0.28,0.00,6682,7967,19275,10280,10794,5654,5397,7196,6682,10280,1285,8738,19018,17219,12079,3855,8224,12850,4112,6682,10280,12079,11565,6682,9509,15677,4883,16962,3598,9766,15420,13107,13364,14135,8224,4112,7453,8738,20303,24929,15163,16191,13621,22616,12079,10280,3855,6682,16962,24158,20560,14392,14392,4883,4883,5397,15163,17733,20046,9252,13621,15163,9252,7196,6168,11051,12079,28270,4369,21588,7453,2827,8481,14392,2313,20303,5397,11308,2570,15677,5397,1,100.00,Foreground,write_str,
slow_20ms_15msexp0000.png,370,398,19253741.63,2.09,246794.03,0.28,0.00,20046,5654,4112,8738,4112,4369,11822,7967,9766,9252,3598,8995,3598,5911,7967,6682,12850,7196,7196,8481,10280,9766,15163,9509,7967,14906,4112,8224,3855,8481,22359,24158,8481,12079,6939,8995,7967,20303,13878,22359,9766,13107,19532,10794,12593,6168,15677,13364,14649,30840,24929,13364,10537,23901,3598,8995,7967,20046,12079,16705,14392,12336,3598,5397,5140,17990,26728,10023,3598,16962,14135,7967,9252,3855,8224,12336,21845,8738,6168,8738,8738,1,100.00,Foreground,write_str,
slow_20ms_15msexp0000.png,215,311,18708491.48,2.18,244907.31,0.31,0.00,7453,14649,11051,7453,3341,6425,3084,6682,9766,3598,6939,8738,5140,10537,6939,7710,6168,3341,7710,7453,3855,8481,14392,18504,7710,11565,13621,4369,13621,12079,5397,10280,19789,9252,6425,5140,6425,4883,22102,14135,25443,8995,17990,9252,1542,2570,10280,10537,10794,13878,12850,14649,6425,7967,4626,1799,13364,28270,7710,21588,10280,7196,16962,10023,4369,6168,7453,12593,32639,15420,5397,8224,12850,4626,13107,3598,5911,4626,6682,4626,5911,1,100.00,Foreground,write_str,
